time_myr,dt_myr,eroded_bedrock_volume_km3,reworked_sediment_volume_km3,transported_to_deep_reservoir_km3,rift_recycled_volume_km3,surface_sediment_volume_km3,deep_recycled_sediment_volume_km3,cumulative_rift_recycled_volume_km3,mean_sediment_thickness_m,max_sediment_thickness_m,area_fraction_over_1km,step_surface_mass_error_km3,global_continental_ledger_error_km3
4.0,4.0,3663096.117261291,0.0,0.0,0.0,3663096.1172612915,0.0,0.0,10.428451593545859,438.62143652511776,0.0,4.656612873077393e-10,0.0
8.0,4.0,3024756.8234680737,71018.7367022529,140717.21716335503,0.0,6547135.723566011,140717.21716335503,0.0,18.63901076683453,760.2112002885686,0.0,0.0,-4.76837158203125e-07
12.0,4.0,2930652.440458349,134447.2156260584,160809.21719324618,0.0,9316978.946831115,301526.4343566012,0.0,26.524464779198013,1142.1002495417638,0.0013332112237399694,0.0,-4.76837158203125e-07
16.0,4.0,2539701.8561174814,196200.72169126896,297272.0927877949,192352.1772114423,11559408.710160801,598798.5271443961,192352.1772114423,32.90842782308722,1443.1117420798937,0.0032979207024502384,0.0,4.76837158203125e-07
20.0,4.0,2481674.50882582,255626.99658454757,243931.98402346583,5577.855686011459,13797151.234963154,842730.511167862,197930.03289745376,39.27904678903664,1806.9521519861578,0.0044664496177794916,0.0,4.76837158203125e-07
24.0,4.0,2690664.012119933,285090.6871418466,411289.09936508286,416811.8927319302,16076526.147718005,1254019.6105329448,614741.9256293839,45.76818880996146,2190.262939357242,0.006839412000063338,0.0,4.76837158203125e-07
28.0,4.0,2395290.145477374,346845.5592657811,715391.6786266898,387825.066265358,17756424.614568688,1969411.2891596346,1002566.9918947419,50.55068407703135,2440.845940848421,0.007967115357622309,0.0,0.0
32.0,4.0,2288470.1628109715,380095.1187125077,632410.6944066887,555770.616541178,19412484.082972974,2601821.9835663233,1558337.60843592,55.26531220838363,2766.0803055891092,0.009696452302925367,3.725290298461914e-09,-4.76837158203125e-07
36.0,4.0,2266590.2020118823,451515.63582165004,550599.3443096246,556985.3615165877,21128474.94067523,3152421.327875948,2115322.969952508,60.15055873800363,2964.1588472726144,0.011995331412527755,-3.725290298461914e-09,0.0
40.0,4.0,2204637.3441497884,473401.45622932183,1093646.5861895075,460277.0938767665,22239465.69863551,4246067.914065456,2575600.0638292744,63.313433248904474,3509.8932902464844,0.014028615109944437,3.725290298461914e-09,-4.76837158203125e-07
44.0,4.0,2090975.4325328697,501209.3797711954,565309.9249304549,399999.83849375485,23765131.206237927,4811377.838995911,2975599.902323029,67.65684340923346,3591.1276474684346,0.01671438894433336,0.0,4.76837158203125e-07
48.0,4.0,2157195.0538739003,627945.9262726307,1543431.7919933207,725197.3532584594,24378894.468118504,6354809.630989232,3700797.2555814884,69.40416323419177,3688.0058872816444,0.01548215216385207,-3.725290298461914e-09,4.76837158203125e-07
52.0,4.0,2269106.2845377037,619535.5732220861,746312.6494755017,1132111.9930134136,25901688.103180707,7101122.280464734,4832909.248594902,73.73939747371232,3803.213197344566,0.016788711145628243,0.0,4.76837158203125e-07
56.0,4.0,2277508.8411001903,637585.5949284716,932159.6498581392,941610.986908601,27247037.29442276,8033281.930322873,5774520.235503503,77.56946593715554,3850.627935053593,0.01828726574346403,3.725290298461914e-09,4.76837158203125e-07
60.0,4.0,2374680.852401318,746586.9880145018,1065616.50206012,1262083.3922095567,28556101.64476396,9098898.432382993,7036603.62771306,81.29623525288298,3846.735698209176,0.020705809887432328,0.0,0.0
64.0,4.0,2308744.5340705966,847137.7093129503,832944.6021026899,1602241.0399197624,30031901.57673186,9931843.034485683,8638844.667632822,85.49768333385558,3934.965442820144,0.022513160097955377,-7.450580596923828e-09,0.0
68.0,4.0,2101697.214289077,829480.7495282369,557497.0998557779,844673.3649200269,31576101.691165164,10489340.134341462,9483518.03255285,89.89385958165644,4022.2832965538523,0.025532172793463443,3.725290298461914e-09,9.5367431640625e-07
72.0,4.0,2262660.842828236,954286.0794545033,923694.2613456002,1534898.7664257877,32915068.2726478,11413034.395687062,11018416.798978638,93.70575742254817,4044.784234146942,0.02599786136942749,0.0,0.0
76.0,4.0,1925315.7881991165,847718.4203421932,714698.6647963837,449000.33797820593,34125685.39605053,12127733.060483446,11467417.136956844,97.15225777787111,4154.269527569631,0.027926807249688355,-7.450580596923828e-09,9.5367431640625e-07
80.0,4.0,2099340.863192442,918245.1400917985,777741.7313984812,653408.2099433384,35447284.527844496,12905474.791881928,12120825.346900184,100.9147123056245,4285.134454424913,0.02899731559893019,7.450580596923828e-09,4.76837158203125e-07
84.0,4.0,1887791.3486162177,936508.5072891418,761366.0437301267,1582608.8002625504,36573709.832730584,13666840.835612055,13703434.147162734,104.12152735762272,4323.633766308772,0.028778813177017987,-7.450580596923828e-09,4.76837158203125e-07
88.0,4.0,2097323.067883278,1083695.4171120718,971203.1802331147,682377.9175129137,37699829.72038075,14638044.01584517,14385812.064675648,107.32747291868793,4324.17076413586,0.0292187851268217,7.450580596923828e-09,0.0
92.0,4.0,2073662.5231804498,1169310.964598985,507215.776169988,1655984.1255939275,39266276.46739121,15145259.792015158,16041796.190269575,111.7869830030914,4717.3221742757905,0.030244000971287825,-7.450580596923828e-09,9.5367431640625e-07
