seed,version,final_plate_count,topology_events,continental_material_area_fraction,mean_continental_root_km,max_rift_extension,global_ledger_error_km3,max_hydrosphere_error_km3,max_sediment_step_error_km3,mean_craton_strength,cratonic_continent_fraction,mean_root_age_myr
20260806,v0.23,13,11,0.2856850877570416,112.31065241065359,0.14045342276402437,4.76837158203125e-07,12.782132863998413,2.9802322387695312e-08,,,
20260806,v0.24,15,11,0.28628734570790576,151.40392520488982,0.10428231097725882,0.0,12.444953680038452,5.960464477539063e-08,0.6528850365694931,0.703027295776404,912.3459595538501
20260807,v0.23,11,5,0.28868466245661795,100.58778643056155,0.28356163718143135,9.5367431640625e-07,11.683837532997131,5.960464477539063e-08,,,
20260807,v0.24,7,13,0.2869477396345711,141.5831400241549,0.08264226020280517,4.76837158203125e-07,12.304468154907227,5.960464477539063e-08,0.6319762619303333,0.6529985209810768,876.4616357511902
20260808,v0.23,10,14,0.28875810986934464,103.66766270825407,0.10602226908793733,4.76837158203125e-07,13.322178840637207,2.9802322387695312e-08,,,
20260808,v0.24,12,12,0.2879155852636746,138.2573172147005,0.09768774985929297,-4.76837158203125e-07,14.5561363697052,5.960464477539063e-08,0.6227566624032459,0.6131219418479023,849.6630096214561
20260809,v0.23,11,11,0.2803016893221725,108.18249659723082,0.1451769004855456,4.76837158203125e-07,12.578330516815186,5.960464477539063e-08,,,
20260809,v0.24,13,9,0.28260899047710014,139.83486250282712,0.07121271360331824,4.76837158203125e-07,12.658296465873718,2.9802322387695312e-08,0.6516304932939615,0.7594010060368872,905.5424476861076
MEAN,v0.23,11.25,10.25,0.2858573873512942,106.18714953667501,0.16880355737973468,,,,,,
MEAN,v0.24,11.75,11.25,0.28593991527081286,142.76981123664308,0.08895625866066881,,,,0.6398121135492585,0.6821371911605676,886.003263153151
